acid_flow,acetate_flow,water_flow,total_flow,flow_ratio_acetate_acid,log10_flow_ratio_acetate_acid,water_fraction,buffer_flow_fraction,acid_analytical_mol_l,acetate_analytical_mol_l,total_buffer_mol_l,sodium_mol_l,ph_equilibrium_charge_balance,ph_equilibrium_affine
1.0,8.0,8.0,17.0,8.0,0.9030899869919435,0.47058823529411764,0.5294117647058824,0.0058823529411764705,0.047058823529411764,0.052941176470588235,0.047058823529411764,5.663270012953413,5.1358689701858635
1.0,8.0,9.0,18.0,8.0,0.9030899869919435,0.5,0.5,0.005555555555555556,0.044444444444444446,0.05,0.044444444444444446,5.663280584291375,5.135877331195071
1.0,8.0,10.0,19.0,8.0,0.9030899869919435,0.5263157894736842,0.47368421052631576,0.005263157894736842,0.042105263157894736,0.04736842105263158,0.042105263157894736,5.663291155996768,5.135885692494885
1.0,9.0,1.0,11.0,9.0,0.9542425094393249,0.09090909090909091,0.9090909090909091,0.009090909090909092,0.08181818181818182,0.09090909090909091,0.08181818181818182,5.714344712450993,5.176264616824072
1.0,9.0,2.0,12.0,9.0,0.9542425094393249,0.16666666666666666,0.8333333333333334,0.008333333333333333,0.075,0.08333333333333333,0.075,5.714354002190143,5.176271964200048
1.0,9.0,3.0,13.0,9.0,0.9542425094393249,0.23076923076923078,0.7692307692307693,0.007692307692307693,0.06923076923076923,0.07692307692307693,0.06923076923076923,5.714363291688729,5.176279311385758
1.0,9.0,4.0,14.0,9.0,0.9542425094393249,0.2857142857142857,0.7142857142857143,0.0071428571428571435,0.0642857142857143,0.07142857142857144,0.0642857142857143,5.714372580946764,5.176286658381214
1.0,9.0,5.0,15.0,9.0,0.9542425094393249,0.3333333333333333,0.6666666666666666,0.006666666666666667,0.060000000000000005,0.06666666666666667,0.060000000000000005,5.714381869964261,5.176294005186425
1.0,9.0,6.0,16.0,9.0,0.9542425094393249,0.375,0.625,0.00625,0.05625,0.0625,0.05625,5.714391158741233,5.176301351801402
1.0,9.0,7.0,17.0,9.0,0.9542425094393249,0.4117647058823529,0.5882352941176471,0.0058823529411764705,0.052941176470588235,0.058823529411764705,0.052941176470588235,5.714400447277694,5.176308698226156
1.0,9.0,8.0,18.0,9.0,0.9542425094393249,0.4444444444444444,0.5555555555555556,0.005555555555555556,0.05,0.05555555555555556,0.05,5.714409735573657,5.1763160444606955
1.0,9.0,9.0,19.0,9.0,0.9542425094393249,0.47368421052631576,0.5263157894736842,0.005263157894736842,0.04736842105263158,0.052631578947368425,0.04736842105263158,5.714419023629136,5.1763233905050345
1.0,9.0,10.0,20.0,9.0,0.9542425094393249,0.5,0.5,0.005,0.045,0.049999999999999996,0.045,5.714428311444145,5.176330736359182
1.0,10.0,1.0,12.0,10.0,1.0,0.08333333333333333,0.9166666666666666,0.008333333333333333,0.08333333333333333,0.09166666666666666,0.08333333333333333,5.760099279243066,5.21245250104852
1.0,10.0,2.0,13.0,10.0,1.0,0.15384615384615385,0.8461538461538461,0.007692307692307693,0.07692307692307693,0.08461538461538462,0.07692307692307693,5.7601075512894955,5.212459043518036
1.0,10.0,3.0,14.0,10.0,1.0,0.21428571428571427,0.7857142857142857,0.0071428571428571435,0.07142857142857142,0.07857142857142857,0.07142857142857142,5.76011582314765,5.212465585838644
